Sim Nr   Performance    rejected   maxMinDist
Sim 1   (0.8363, 0.0807)    3.0   1.4142135623730951
Sim 2   (0.9881, 0.0196)    0.0   1.4142135623730951
Sim 3   (0.9972, 0.0083)    0.0   1.4142135623730951
Sim 4   (1.0, 0.0)    0.0   1.4142135623730951
Sim 5   (0.8862, 0.0652)    0.0   1.4142135623730951
Sim 6   (0.9944, 0.0167)    0.0   1.4142135623730951
Sim 7   (0.9873, 0.0291)    0.0   1.4142135623730951
Sim 8   (1.0, 0.0)    0.0   1.4142135623730951
